Model ID,Task,Best Test C-Index NO TL,Best Test C-Index NO TL X,Best Test C-Index TL,Best Test C-Index TL X,Best Test C-Index TL - NO TL,Best Test C-Index TL X - NO TL X
106,EVER OS,52.69,58.68,52.28,61.95,-0.4099999999999966,3.270000000000003
106,NIVO OS,40.8,58.35,42.65,57.46,1.8500000000000014,-0.8900000000000006
106,OS,45.89,57.65,47.3,59.31,1.4099999999999966,1.6600000000000037
143,EVER OS,54.03,58.77,50.81,65.35,-3.219999999999999,6.579999999999991
143,NIVO OS,41.8,53.03,41.02,60.16,-0.779999999999994,7.1299999999999955
143,OS,46.65,55.05,47.64,63.22,0.990000000000002,8.170000000000002
