,PCA1,PCA2,PCA3,PCA4,UMAP1,UMAP2
YW_200227_M431_273.mzML,3.3671942,0.35451272,2.4649358,-1.3035258,4.765603,16.912125
YW_200227_M431_285.mzML,2.9038944,0.47296438,2.8645692,-1.1510475,5.0723624,16.685177
YW_200305_M431_003.mzML,1.169547,0.01685728,2.8797069,-0.20158233,5.2619796,16.5306
F088_210524_M462_013.mzML,-1.6600083,-1.4328634,-0.96787137,1.4212344,15.343871,14.044305
F088_210524_M462_133.mzML,1.9811561,5.5268326,0.016909614,-1.4860765,10.069497,0.13352457
batch10/KL_200518_M436_017.mzML,-0.41752753,-0.68025655,-1.7528913,-3.2348683,-3.7128303,8.312002
batch10/KL_200518_M436_283.mzML,0.5584902,0.44089556,-1.4544672,-2.4668448,-3.7550366,8.325198
F088_210524_M462_153.mzML,-2.9436002,-2.7145312,-0.9384939,1.3132454,15.350166,14.139601
F088_210804_M462_179.mzML,1.7002169,5.0830064,-0.013826658,-1.042439,10.05688,0.1401548
YW_200319_M431_013.mzML,1.0872669,-1.1598316,2.5173125,-0.12202155,4.7524357,18.288254
F088_210524_M462_007.mzML,0.16106391,2.8144872,0.105867654,-0.939373,9.483951,0.27429244
YW_200307_M431_181.mzML,2.4211583,-0.18774529,1.9688743,-0.73334676,4.7449303,17.122284
YW_200301_M431_275.mzML,3.3922186,0.6701194,2.693459,-1.7282852,4.7686973,16.897768
YW_200319_M431_043.mzML,2.3601403,-1.0805326,1.233207,-1.686163,8.038504,16.915134
YW_200318_M431_289.mzML,1.4653878,-0.6351712,2.0614228,-0.37850055,5.3805423,16.4364
batch9/KL_200516_M436_281.mzML,-0.4603605,-0.7498355,-1.6705401,-3.1911757,-3.716004,8.309603
YW_200227_M431_141.mzML,3.4400897,0.3990021,2.539543,-1.4079156,4.765078,16.915955
YW_200318_M431_009.mzML,1.1160102,-1.7160755,2.3558872,-0.06887036,5.4123178,16.408432
YW_200319_M431_145.mzML,1.2327238,-0.8842193,2.5655947,-0.21694611,4.7420735,18.248247
YW_200301_M431_003.mzML,2.1161852,0.86771494,3.5129778,-0.9285666,5.109491,16.642881
YW_200226_M431_007.mzML,2.2082474,-1.0072731,1.5813015,-0.55087703,4.7035885,17.617355
YW_200307_M431_005.mzML,2.111018,0.8596479,3.2567084,-1.0441952,5.1053843,16.65022
F088_210730_M462_281.mzML,2.0513594,6.20116,0.24027859,-0.90759265,10.013777,0.1754555
VT_171028_M314_231.mzML,0.29948074,2.7896264,-2.9966424,4.398234,16.094221,6.330645
YW_200305_M431_005.mzML,1.4134692,0.2919876,3.0309734,-0.37071276,5.2305164,16.557678
F088_210524_M462_165.mzML,1.3833786,4.1197286,-0.19060133,-1.4675065,10.026612,0.11638787
YW_200305_M431_015.mzML,2.7855997,0.20021826,2.1295388,-1.0912746,4.6929946,17.103497
F088_210524_M462_119.mzML,0.4089689,2.2437077,-0.49993742,-1.7047247,9.787661,-0.18164827
F088_210524_M462_179.mzML,-3.0692558,-2.865845,-0.3201992,0.78696454,15.246056,14.1096
