,PCA1,PCA2,PCA3,PCA4,UMAP1,UMAP2
B7_WU350-291_d3_polar_pos.mzML,-0.1184253,0.9392648,0.77561504,-0.37077665,10.5239525,-8.811521
YW_200226_M431_043.mzML,0.50476706,-0.7524395,1.0105355,0.18940832,-0.9238371,-2.0072656
McCann_812113070_314_MX452646_posHILIC.mzML,0.15247372,1.2588556,-0.09170815,-0.68891233,7.5980105,-11.067973
batch8/KL_200515_M436_001.mzML,1.1883574,-0.20253037,-0.8504298,-1.9198341,-3.7671788,8.88534
McCann_812048070_356_MX452646_posHILIC.mzML,0.6261723,1.9558545,0.004193062,-1.0312283,7.0610175,-11.000325
B6_WU350-257_d0_polar_pos.mzML,-0.16928141,1.4350569,1.185394,-0.84849465,11.046316,-8.584423
10jan12_14-r001.mzML,0.14451294,1.473864,1.0305182,0.43096292,10.874779,-5.8365684
B9_WU350-378_d0_polar_pos.mzML,0.24411237,1.730176,1.4830165,-0.87499785,11.266983,-9.054718
batch22/VT_200910_M436_147.mzML,-0.34326148,-1.5192784,-0.9038124,-2.1192968,-4.81703,9.058168
McCann_812104150_294_MX452646_posHILIC.mzML,0.32571104,1.6227769,0.0038346015,-1.0006008,7.351851,-11.0473
batch4/KL_200510_M436_001.mzML,1.3269387,-0.09684661,-0.84520626,-2.0579107,-3.8747346,8.976704
batch41/VT_201018_M436_285.mzML,3.0975995,-0.18522471,-0.42164803,-2.4251306,-3.5241187,9.3951025
B6_WU350-208_d0_polar_pos.mzML,-0.40703517,1.2697221,1.2700543,-0.9272741,11.116983,-8.386103
batch19/VT_200906_M436_283.mzML,-0.43686432,-2.1626015,-0.5603202,-1.9713919,-1.8798672,10.062775
McCann_812153150_296_MX452646_posHILIC.mzML,0.4738761,1.883023,0.036525674,-0.9941489,7.072551,-11.002461
batch11/VT_200826_M436_017.mzML,-0.2605135,-2.5825474,-1.0352626,-1.9095879,-5.1208873,8.8670025
B9_WU350-373_d3_polar_pos.mzML,-0.09630835,1.5396857,1.4292985,-0.8598266,11.169349,-8.703587
batch4/KL_200510_M436_143.mzML,1.0137185,-0.5335829,-1.2072148,-1.947562,-4.2118335,9.26589
10jan12_44-r001.mzML,-1.5654999,-0.14319414,-0.020344514,0.57150114,17.572327,0.043094106
10jan12_60-r001.mzML,0.25157428,1.4697595,0.93407184,0.5948923,10.871134,-5.838796
B9_WU350-364_d7_polar_pos.mzML,0.4905016,2.3920875,2.031734,-1.23253,11.519794,-8.922907
batch9/KL_200516_M436_145.mzML,0.12443638,-1.0076175,-1.1095397,-2.0985558,-4.6720824,9.11085
batch6/KL_200513_M436_005.mzML,1.9668275,0.12499921,-1.3516057,-1.7622687,-3.9579203,8.171921
VT_181116_M338_063.mzML,3.5057256,1.4534411,-2.099895,0.8245158,4.476967,0.8664699
McCann_812040150_309_MX452646_posHILIC.mzML,0.04214398,0.6834896,-0.098335296,-0.3269805,8.137232,-11.049088
F088_210802_M462_149.mzML,-1.3239557,-0.33323878,-1.5430231,0.4096431,16.775682,14.48037
F088_210808_M462_023.mzML,-0.6873288,-0.10460986,-0.8395084,0.34559268,12.708909,11.932951
B9_WU350-339_d14_polar_pos.mzML,0.28679016,1.9442258,1.5270977,-0.90512246,11.26763,-9.057466
batch21/VT_200909_M436_003.mzML,-0.288582,-1.4928194,-0.56974804,-2.0292451,-1.9272401,10.035689
B6_WU350-238_d14_polar_pos.mzML,-0.0018384459,1.1455364,0.9073492,-0.4476002,10.624101,-8.771925
McCann_812129220_003_MX452646_posHILIC.mzML,0.08056744,0.9393079,-0.13512048,-0.68511254,7.9764237,-11.104123
batch37/VT_201013_M436_139.mzML,0.32820988,-1.0575991,-2.7762358,-0.7566276,-3.4881055,1.3760539
McCann_812078070_362_MX452646_posHILIC.mzML,-0.31390452,0.023323612,-0.16650304,0.32889947,8.416395,6.0344973
YW_200319_M431_083.mzML,0.44434083,0.8108511,2.6484869,-1.4369727,8.352677,15.612872
batch11/VT_200826_M436_153.mzML,-0.061435997,-1.9750419,-0.76981074,-1.9415395,-4.95463,8.972737
F088_210804_M462_139.mzML,-1.7567184,-0.65201175,-1.684516,0.80853015,16.263193,14.292626
batch16/VT_200902_M436_147.mzML,0.8609856,-0.8691359,-0.86084074,-2.0431054,-4.3800936,9.275211
batch18/VT_200905_M436_147.mzML,-0.3258014,-1.6721959,-0.87932235,-2.1416943,-4.8364835,9.042016
McCann_812207220_271_MX452646_posHILIC.mzML,-0.0074301176,0.7119891,-0.1105416,-0.358125,8.114112,-11.063424
F088_210813_M462_009.mzML,0.22772858,1.9325097,0.15226243,0.15442827,8.840689,0.55177826
F088_210802_M462_277.mzML,-0.11522669,1.6415156,0.3360578,0.39074132,8.653925,0.3799221
batch6/KL_200513_M436_285.mzML,0.78794605,-0.3735219,-1.0465466,-1.9066664,-3.7698936,8.904913
batch10/KL_200518_M436_153.mzML,1.3882259,1.0500764,-0.6279746,-1.7673689,1.7399238,12.050181
B9_WU350-312_d28_polar_pos.mzML,0.2501442,2.0024023,1.6158029,-0.93453515,11.302971,-9.0673
10jan12_25-r002.mzML,0.10625736,0.25641268,0.13781016,-0.22220661,6.841899,4.9515986
F088_210708_M462_125.mzML,0.53991365,2.0411208,-0.08778226,-0.84613556,8.605788,1.3029985
F088_210723_M462_015.mzML,-0.7109344,0.24577306,-1.3756529,0.84940284,17.333292,14.853646
McCann_812019150_300_MX452646_posHILIC.mzML,0.20648696,1.1184705,-0.14576396,-0.6416421,7.7417545,-11.080114
F088_210813_M462_323.mzML,-1.4770005,-0.7993441,-0.9494297,0.65094024,13.76503,17.947826
B6_WU350-218_d3_polar_pos.mzML,0.09104946,1.7120811,1.3201252,-0.9157698,11.135401,-8.871417
10jan12_59-r002.mzML,-0.87638694,-0.060306564,-0.062634364,0.38344216,9.066751,5.6653104
B4_WU350-159_d3_polar_pos.mzML,-2.751444,-1.2731049,-1.7930901,2.426105,8.187639,-2.8280737
batch10/KL_200518_M436_209.mzML,1.4199536,1.1313154,-0.57518816,-1.8106835,1.7318392,12.054311
batch21/VT_200909_M436_283.mzML,-0.6235714,-2.3926442,-0.60613704,-1.9977922,-1.8669842,10.071554
batch13/VT_200829_M436_011.mzML,0.09636668,-1.6975499,-0.6499629,-1.904758,-4.8607464,9.021971
B6_WU350-179_d28_polar_pos.mzML,0.2405177,2.2192721,1.8153312,-0.9320319,11.352961,-9.06481
McCann_812037070_365_MX452646_posHILIC.mzML,0.057445444,0.94874376,-0.123143435,-0.59917384,7.7958126,-11.091798
batch22/VT_200910_M436_139.mzML,-0.30523065,-3.1701877,-1.0538387,-1.6816591,-5.139194,8.852566
McCann_812037000_364_MX452646_posHILIC.mzML,0.79604244,2.3334014,0.10992552,-1.3213102,7.030205,-10.992923
B6_WU350-174_d14_polar_pos.mzML,0.026915023,1.6191194,1.2880807,-0.95629805,11.116595,-8.837936
F088_210808_M462_043.mzML,0.047209993,1.1882126,0.47641364,0.37161392,10.13984,2.072224
batch7/KL_200514_M436_285.mzML,1.7413883,-0.004757896,-1.111008,-1.662132,-3.94308,8.213786
batch12/VT_200827_M436_003.mzML,-0.55280447,-2.3454714,-0.44462854,-2.0753787,-1.8707882,10.067857
F088_210708_M462_029.mzML,0.19908814,1.3585217,-0.25651568,-1.0197569,8.268042,1.3514245
B2_WU350-039_d7_polar_pos.mzML,0.047445416,0.28765717,0.1649492,-0.11023566,6.8928876,4.898012
10jan12_55-r001.mzML,0.30932876,1.7911829,1.1481864,0.5209062,10.865044,-5.8398256
VT_160214_011.mzML,-0.015042131,9.060965,-3.424123,-1.1779816,10.244116,0.13585252
B6_WU350-215_d0_polar_pos.mzML,0.18700942,1.7344975,1.3598441,-0.72709984,11.149929,-9.132297
B5_WU350-196_d0_polar_pos.mzML,-0.11719872,0.7927087,0.61932623,-0.32578373,10.495748,-8.716967
F088_210708_M462_123.mzML,0.45260403,1.887293,-0.10257164,-0.8722513,8.506607,1.297022
batch19/VT_200906_M436_011.mzML,-0.03747461,-1.3844838,-0.7875922,-2.032904,-4.8009696,9.0558815
McCann_812216000_343_MX452646_posHILIC.mzML,0.56352687,1.9531677,-0.03561329,-0.9897411,7.125224,-11.053718
McCann_812171220_338_MX452646_posHILIC.mzML,0.18988712,1.2919222,-7.859524e-05,-0.7213578,7.5572886,-11.063105
B7_WU350-289_d3_polar_pos.mzML,-0.08701113,0.17278711,-0.003916421,0.17418036,7.739907,5.6472893
batch12/VT_200827_M436_283.mzML,-0.7779075,-3.1735299,-0.6442113,-2.0224962,-1.8506438,10.075812
10jan12_27-r001.mzML,0.33487874,1.659362,1.0486361,0.5674099,10.867197,-5.8376236
McCann_812022000_225_MX452646_posHILIC.mzML,0.28746173,1.3663553,-0.10181655,-0.67378247,7.43648,-11.047359
F088_210813_M462_313.mzML,-1.1107373,-0.30629653,-0.9028475,0.69295317,13.755105,17.77254
F088_210708_M462_077.mzML,0.18993609,1.2787458,-0.20652646,-0.91983205,8.269544,1.3539921
B6_WU350-221_d0_polar_pos.mzML,-0.0490366,1.4943858,1.2026207,-0.6867198,10.95097,-8.90918
B7_WU350-257_d14_polar_pos.mzML,-0.02308592,0.03424967,0.3720924,-0.056944624,7.028503,5.6212306
F088_210806_M462_139.mzML,-0.9513123,0.013588311,-1.5231128,0.62439024,17.110209,14.67556
YW_200301_M431_065.mzML,1.0380882,0.84555936,2.6355827,-1.1964453,8.405402,15.72974
batch11/VT_200826_M436_281.mzML,-0.016408492,-1.8117132,-0.8934453,-1.9095223,-4.8808694,9.012914
F088_210802_M462_139.mzML,-0.02287898,2.260054,0.385899,0.3313985,9.03195,0.5571493
McCann_812011150_286_MX452646_posHILIC.mzML,0.015584616,0.80375475,-0.143334,-0.4899658,8.079122,-11.07857
F088_210809_M462_143.mzML,-2.8754437,-1.9379246,-1.0702735,0.8336872,13.666544,18.547125
McCann_812189070_293_MX452646_posHILIC.mzML,0.6323026,2.2179544,0.16547601,-1.1968235,7.050037,-10.9986105
10jan12_25-r001.mzML,0.059631474,0.18667625,0.12379426,-0.19482449,6.9444146,5.0340004
batch14/VT_200830_M436_275.mzML,-0.11144831,-1.9046876,-0.8737167,-1.9763814,-4.918307,8.991932
B4_WU350-126_d14_polar_pos.mzML,-1.6374424,-0.6966239,-0.78891236,2.0140784,8.472548,-2.8627844
F088_210808_M462_221.mzML,0.28183803,1.2601279,0.12772164,0.14806299,9.30573,2.137642
batch6/KL_200513_M436_015.mzML,0.8804105,-0.48212838,-1.1286247,-2.029233,-4.1584263,9.24156
B6_WU350-225_d0_polar_pos.mzML,0.43455103,2.1429296,1.8017532,-0.9654533,11.389778,-9.027714
F088_210708_M462_071.mzML,0.27221,1.4417937,-0.19796799,-0.88111734,8.286803,1.3744574
YW_200224_M431_031.mzML,1.4039564,-1.0286894,0.85910964,-1.2080649,8.26558,17.28551
B4_WU350-159_d0_polar_pos.mzML,-1.650672,-0.30944568,-0.96722263,1.8315562,8.519329,-2.8624644
batch14/VT_200830_M436_003.mzML,-0.6396003,-2.5121474,-0.55368507,-2.0520763,-1.8680764,10.070611
B6_WU350-259_d0_polar_pos.mzML,-0.2640716,1.004251,1.1622502,-0.7856863,10.965449,-8.285385
F088_210813_M462_163.mzML,-0.6959426,0.12993836,-1.0378741,0.67371863,13.67569,17.600725
batch10/KL_200518_M436_137.mzML,1.4074898,1.0581001,-0.57012683,-1.7682626,1.734844,12.051455
10jan12_41-r001.mzML,-1.6521584,-0.19520736,0.0007389346,0.56899697,17.572063,0.052831315
batch22/VT_200910_M436_283.mzML,-0.583629,-2.5701432,-0.6265377,-1.9524528,-1.8617487,10.073224
B9_WU350-363_d0_polar_pos.mzML,0.2829145,2.0038967,1.6997403,-1.0801255,11.50455,-8.838724
10jan12_38-r001.mzML,-0.022051958,0.92580414,0.4960221,0.15377736,6.374352,4.32144
B6_WU350-248_d0_polar_pos.mzML,-0.3532663,1.0382495,1.1589588,-0.8072476,10.988675,-8.297822
McCann_812038150_353_MX452646_posHILIC.mzML,0.28586495,1.5156094,-0.019395093,-0.88166845,7.352239,-11.037298
10jan12_60-r002.mzML,-0.03286568,0.18135338,-0.18072887,0.38237762,8.36695,5.939062
F088_210809_M462_139.mzML,-2.4483545,-1.5243528,-1.1013856,0.87148,13.683395,18.478134
YW_200304_M431_097.mzML,2.2360718,-0.027933747,1.1596819,-2.101891,8.053019,16.827154
McCann_812104220_295_MX452646_posHILIC.mzML,0.54419667,1.9782231,0.026075369,-1.1230289,7.0532327,-11.003359
B6_WU350-246_d3_polar_pos.mzML,0.12774336,1.811721,1.4263828,-1.0025815,11.20648,-8.918993
B1_WU350-029_d7_polar_pos.mzML,-0.75294775,-0.15891455,-0.55702776,0.71683913,9.116537,-2.3527076
B6_WU350-246_d7_polar_pos.mzML,-0.0057661724,1.4269736,1.1689183,-0.79284173,10.9780035,-8.84562
F088_210808_M462_015.mzML,-2.7547154,-1.5340937,-2.1759305,0.64053464,15.773052,14.204232
B1_WU350-013_d14_polar_pos.mzML,-0.909491,-0.2574298,-0.49013492,0.8859868,9.014516,-2.5270557
B9_WU350-369_d0_polar_pos.mzML,-0.24192882,1.0486157,0.9720792,-0.7060107,10.8906975,-8.275564
batch17/VT_200904_M436_147.mzML,-0.08846736,-1.5603955,-0.7146599,-2.0994494,-4.819948,9.048662
F088_210708_M462_149.mzML,-1.4303654,-0.42211428,-1.5957193,0.9142246,16.86156,14.519591
YW_200319_M431_077.mzML,0.098400034,0.8081395,2.4515407,-1.4272144,8.3224535,15.582936
batch3/KL_200508_M436_285.mzML,0.6626091,-1.2033727,-0.48846197,-1.7421604,-3.0649285,9.036626
batch10/KL_200518_M436_057.mzML,1.2800839,1.0228751,-0.67600447,-1.9272231,1.7370021,12.049382
B6_WU350-207_d0_polar_pos.mzML,0.18828644,1.6597581,1.3163762,-0.66589725,11.113842,-9.098873
batch17/VT_200904_M436_139.mzML,-0.1929405,-2.6137881,-0.77435684,-1.8461193,-5.122831,8.864569
batch19/VT_200906_M436_139.mzML,-0.2752961,-2.4995763,-0.9006897,-1.7121946,-5.119169,8.866888
B6_WU350-228_d0_polar_pos.mzML,0.44029987,2.5411725,2.1996937,-1.0958225,11.513674,-8.931681
B7_WU350-267_d0_polar_pos.mzML,-0.34853503,0.010675024,-0.026992854,0.37022808,8.964841,5.545201
batch13/VT_200829_M436_147.mzML,-0.12038492,-2.2032259,-0.9893487,-1.9613669,-5.068026,8.89391
F088_210804_M462_287.mzML,-3.2537036,-2.019384,-2.24042,0.5209991,15.733074,14.192678
F088_210708_M462_047.mzML,-0.044553153,1.0876505,-0.5574771,-1.0684425,8.209239,1.3486909
B9_WU350-373_d7_polar_pos.mzML,-0.11700698,1.1404494,1.0084974,-0.6885333,10.896011,-8.446781
McCann_812171150_337_MX452646_posHILIC.mzML,0.23993625,1.3338636,-0.063235424,-0.75981915,7.5104947,-11.055357
F088_210730_M462_215.mzML,-0.7824774,0.39097863,-0.2622439,0.3592288,8.288298,6.155926
B6_WU350-141_d28_polar_pos.mzML,0.2885593,1.8573757,1.546827,-0.72271496,11.183999,-9.160407
McCann_812049220_340_MX452646_posHILIC.mzML,0.099394254,1.0308634,-0.08287302,-0.55986637,7.9311557,-11.111393
F088_210813_M462_109.mzML,-0.8495696,-0.46016452,-0.023100082,0.040242255,14.236163,17.081392
10jan12_61-r002.mzML,0.44973797,2.0029955,1.379435,0.70538396,10.861074,-5.8424745
batch14/VT_200830_M436_283.mzML,-0.6977847,-2.895242,-0.5697164,-2.0558972,-1.8551433,10.075897
YW_200301_M431_223.mzML,2.390261,-0.2219246,1.0582381,-2.2009444,8.066136,16.836468
batch11/VT_200826_M436_001.mzML,-0.14995776,-3.0334768,-0.95749706,-1.2647883,-5.139656,8.849827
F088_210728_M462_007.mzML,-0.24567893,1.6648903,0.3404428,0.6749087,8.731533,0.39609206
10jan12_40-r001.mzML,0.16716349,1.356259,0.8319606,0.58967584,10.870025,-5.8360205
F088_210809_M462_269.mzML,0.4781353,1.3353968,-0.17996323,-0.35314167,8.644759,1.6907465
B6_WU350-190_d14_polar_pos.mzML,0.27191895,1.8912381,1.4913132,-0.88339835,11.268581,-9.091565
10jan12_80-r002.mzML,-0.49658358,-0.037571125,0.2039708,-0.17409562,8.556868,6.114624
McCann_812010220_108_MX452646_posHILIC.mzML,0.06826376,0.8813565,-0.0697203,-0.51120985,7.96804,-11.105048
B6_WU350-200_d0_polar_pos.mzML,-0.34670037,0.8315642,1.0556102,-0.65769285,10.939725,-8.244863
10jan12_59-r001.mzML,-1.2701517,-0.1618009,-0.05681877,0.58014,17.523294,0.03738551
McCann_812124070_055_MX452646_posHILIC.mzML,0.04971998,0.17569017,0.1601882,0.034325346,6.9124155,5.196785
10jan12_80-r001.mzML,-0.54756,-0.047929518,0.10495204,-0.09820993,8.48469,6.1376023
McCann_812142070_234_MX452646_posHILIC.mzML,0.10601298,0.88313717,-0.17957084,-0.53775316,8.017112,-11.105708
batch15/VT_200901_M436_139.mzML,-0.07596676,-1.9199352,-0.83780015,-2.1242507,-4.900331,9.005218
F088_210801_M462_181.mzML,-0.5306266,-0.1284469,-0.38373002,-0.20815627,12.459929,11.493325
F088_210708_M462_283.mzML,-1.2422217,-0.0017611086,-1.869565,0.8142014,16.97178,14.583403
McCann_812280070_247_MX452646_posHILIC.mzML,0.15540975,0.438034,0.21827601,-0.14448915,6.5109973,4.683248
10jan12_27-r002.mzML,0.14063413,0.2594278,0.06654329,-0.026675178,7.6337523,4.637031
YW_200305_M431_023.mzML,1.6905725,1.4565849,2.9455483,-2.668088,8.725004,16.228598
F088_210728_M462_141.mzML,-0.10628772,1.6146381,0.20804875,0.50166315,8.701246,0.33610228
F088_210730_M462_283.mzML,-0.4801383,0.43338266,-1.1980779,0.8078263,17.393692,14.9037075
F088_210708_M462_009.mzML,0.17992114,2.4242496,0.21266268,-0.2594604,9.169664,0.4767865
B5_WU350-190_d3_polar_pos.mzML,-0.10566143,1.186928,0.9476746,-0.7281569,10.892765,-8.402867
F088_210708_M462_281.mzML,-1.2051703,-0.15263642,-1.7471597,0.8115087,16.894897,14.53662
F088_210730_M462_165.mzML,1.110056,2.8719554,0.13825464,-0.068102464,9.384159,1.0798798
McCann_812162070_346_MX452646_posHILIC.mzML,0.18449047,1.1641307,-0.11594058,-0.7410684,7.647166,-11.03817
10jan12_61-r001.mzML,0.4650227,2.1008995,1.4619108,0.7150487,10.852583,-5.8481965
F088_210804_M462_015.mzML,-2.2004423,-1.0933733,-1.9942204,0.52146375,15.977708,14.240786
McCann_812095220_342_MX452646_posHILIC.mzML,0.6536295,2.101074,0.00671569,-1.1339498,7.0692773,-11.026812
F088_210730_M462_141.mzML,-2.0250957,-0.74037755,-1.9041778,0.60022974,16.104677,14.257955
B9_WU350-390_d0_polar_pos.mzML,0.03429302,1.2289414,0.9999971,-0.62230724,10.683618,-8.760557
F088_210813_M462_165.mzML,-2.836196,-1.684249,-1.1171292,0.85148054,13.673171,18.526672
McCann_812256070_299_MX452646_posHILIC.mzML,0.108647116,0.99832594,-0.10224167,-0.53465736,7.8184114,-11.098298
batch42/VT_201020_M436_139.mzML,0.33263895,-1.2485045,-2.9846163,-0.5748294,-3.4430919,1.4461999
VT_181203_M338_153.mzML,2.0612555,0.9583742,-1.2871706,0.67289156,4.095643,0.44458124
10jan12_62-r002.mzML,0.0077455575,0.20784555,0.13333328,-0.045352764,8.093199,4.849492
10jan12_12-r002.mzML,0.21158254,1.4503285,0.9543475,0.46793884,10.870668,-5.8387265
batch4/KL_200510_M436_005.mzML,1.6292542,-0.019085765,-1.2048151,-1.7403188,-3.9501178,8.20751
batch15/VT_200901_M436_275.mzML,-0.062542394,-1.7419552,-0.7682019,-2.0180886,-4.847051,9.033567
YW_200226_M431_155.mzML,2.2690544,-0.09274416,1.0556499,-2.03412,8.038141,16.860422
10jan12_44-r002.mzML,-2.5038772,-0.3918331,0.0011100285,0.811867,17.68375,-0.00019995606
McCann_812148150_327_MX452646_posHILIC.mzML,0.10590641,1.1553903,-0.13142473,-0.73993963,7.6264467,-11.073983
F088_210813_M462_103.mzML,-1.2624807,-0.7857416,0.06736001,0.13649079,14.748424,16.431726
F088_210808_M462_017.mzML,-1.9190279,-0.7531139,-1.9441049,0.59853226,16.11646,14.2604265
McCann_812050150_305_MX452646_posHILIC.mzML,-0.6837582,-0.3417395,0.064295106,0.51206833,11.081377,-2.767327
F088_210804_M462_145.mzML,-0.93618304,0.0162451,-1.6430253,0.6548211,17.13862,14.695917
YW_200224_M431_109.mzML,2.0676236,-0.6807532,0.951212,-1.641286,8.061067,16.89883
F088_210730_M462_109.mzML,-0.0613387,0.4997038,0.43177387,0.052639782,8.884073,3.9941642
F088_210708_M462_185.mzML,0.24926461,1.1277127,-0.032801375,-0.26765785,8.321218,1.7408732
B2_WU350-032_d7_polar_pos.mzML,-2.0088325,-0.8278634,-1.0898677,2.267666,8.264438,-2.8606887
F088_210802_M462_287.mzML,0.19263987,1.8181853,0.19634593,0.2932521,8.801981,0.5096238
batch4/KL_200510_M436_287.mzML,1.5400617,-0.10203081,-1.0995159,-2.3476632,-3.8721724,9.02387
F088_210802_M462_223.mzML,-0.9005613,-0.73526746,-0.16874006,0.076399066,13.112542,12.624503
B7_WU350-295_d0_polar_pos.mzML,0.12902504,1.5511922,1.357662,-0.74194795,11.088066,-9.138938
B5_WU350-175_d7_polar_pos.mzML,-0.02595368,1.5721178,1.3655776,-0.89943564,11.15691,-8.721325
McCann_812250150_067_MX452646_posHILIC.mzML,0.027030468,0.21685636,-0.05959773,0.018150939,7.1653233,4.5389094
McCann_812040220_310_MX452646_posHILIC.mzML,0.16919145,0.42572445,-0.0033209133,-0.06400966,6.3706326,4.6004653
B9_WU350-386_d0_polar_pos.mzML,0.14511348,1.5002946,1.1899016,-0.673878,11.051477,-9.040491
F088_210813_M462_227.mzML,-2.3878164,-1.3393205,-0.18725626,0.12406206,14.8967905,15.616007
batch1/KL_200505_M436_293.mzML,0.30229115,-0.8926054,-0.90348214,-1.9929966,-3.4140522,8.858584
B6_WU350-204_d0_polar_pos.mzML,-0.19475059,1.246159,1.0314757,-0.7627718,10.896763,-8.444818
F088_210813_M462_171.mzML,-1.746491,-0.91736186,-1.0122681,0.896206,13.752146,18.027212
VT_181203_M338_061.mzML,2.0166168,0.56243527,-1.4054855,0.8598203,4.0965805,0.43844756
B7_WU350-105_d84_polar_pos.mzML,0.19842075,1.568343,1.2983979,-0.6230674,11.055895,-9.131078
McCann_812217000_319_MX452646_posHILIC.mzML,0.18222173,1.3347551,0.021145565,-0.6419542,7.568519,-11.062188
10jan12_57-r002.mzML,0.099361874,0.99551433,0.71075267,0.26649842,6.331071,4.2209744
McCann_812229070_005_MX452646_posHILIC.mzML,0.24395414,1.1893333,-0.124443494,-0.678183,7.624771,-11.071134
F088_210801_M462_141.mzML,-1.6640542,-0.5306036,-1.7203447,0.63832605,16.372541,14.32182
10jan12_45-r001.mzML,-1.5623245,-0.13061358,-0.022902822,0.58262473,17.542336,0.056299683
F088_210730_M462_043.mzML,-0.74325204,-0.3154567,-0.12380071,0.034915954,12.741065,12.054495
B9_WU350-367_d14_polar_pos.mzML,-0.22996074,0.9477837,0.9768586,-0.73823464,10.905427,-8.2881
B3_WU350-117_d7_polar_pos.mzML,-1.5992967,-0.4965226,-1.0155329,1.9084386,8.52137,-2.8663406
10jan12_81-r001.mzML,-2.6307254,-0.5271547,0.030114787,0.81017536,17.686941,0.005971147
B6_WU350-226_d0_polar_pos.mzML,-0.045136303,1.2681407,1.0075101,-0.60612273,10.686342,-8.736446
B6_WU350-243_d0_polar_pos.mzML,-0.099802926,1.1885276,0.96671903,-0.71302366,10.750155,-8.674847
F088_210708_M462_075.mzML,0.31732544,1.1371429,-0.18921974,-0.7532944,8.257998,1.5018559
10jan12_45-r002.mzML,-0.5402875,0.0425116,0.20118436,-0.036378883,8.512516,6.0875273
F088_210809_M462_149.mzML,-1.3988855,-0.53124356,-1.0650144,0.89579445,13.747102,17.90648
10jan12_22-r002.mzML,0.14671054,0.2644514,-0.005696588,0.04898403,7.504132,4.5242434
10jan12_28-r001.mzML,-4.9448843,-1.4952965,0.2359983,1.1825398,17.818241,0.011522146
F088_210723_M462_013.mzML,-1.2673334,-0.25912887,-1.7321641,0.97593164,16.893791,14.536341
McCann_812029000_010_MX452646_posHILIC.mzML,-0.41737604,-0.059905805,-0.046832807,0.35679597,8.927184,5.802809
McCann_812216070_344_MX452646_posHILIC.mzML,0.16997047,1.0453126,-0.2116569,-0.62074673,7.683151,-11.078818
B9_WU350-389_d0_polar_pos.mzML,0.14947788,1.767898,1.3837397,-1.0489812,11.181962,-8.929486
F088_210708_M462_277.mzML,-0.104265094,1.4511174,0.2563056,0.18497646,8.555722,0.29062307
F088_210809_M462_275.mzML,-2.6522315,-1.8640985,-0.85059154,0.7218184,13.671416,18.530113
B2_WU350-032_d0_polar_pos.mzML,-2.687686,-1.181539,-1.7873089,2.6051502,8.200752,-2.830541
F088_210813_M462_229.mzML,-0.5058766,-0.1400085,-0.19983712,-0.011349587,13.899339,17.2808
F088_210708_M462_035.mzML,0.5224227,1.7205365,-0.26089105,-1.0463747,8.467038,1.3167622
B7_WU350-276_d7_polar_pos.mzML,-0.3539133,0.92431104,0.8308069,-0.5286489,10.79815,-8.23764
batch16/VT_200902_M436_139.mzML,-0.24711877,-2.732762,-0.94239753,-1.7051108,-5.13429,8.858185
F088_210808_M462_225.mzML,0.19926259,1.0813673,-0.06711766,-0.064618915,8.538167,2.1218035
McCann_812070220_273_MX452646_posHILIC.mzML,0.08848525,0.68242973,-0.1286886,-0.4897174,8.103179,-11.06957
batch23/VT_200912_M436_139.mzML,0.029263249,-1.5270627,-3.4073508,-0.6646842,-3.4046898,1.5083315
B6_WU350-149_d28_polar_pos.mzML,0.099244654,1.5056992,1.2195961,-0.68224174,10.984405,-8.980435
B5_WU350-194_d0_polar_pos.mzML,0.067903146,1.1804545,1.0093881,-0.50983363,10.5637245,-8.848336
F088_210806_M462_271.mzML,-0.16411215,1.2574768,0.2782918,0.5763157,8.523612,0.24604443
McCann_812007150_335_MX452646_posHILIC.mzML,0.27427673,1.4359457,0.009354513,-0.67251617,7.494791,-11.054339
F088_210813_M462_263.mzML,0.51934016,1.4140706,-0.1344061,-0.17537722,8.424148,1.3580009
10jan12_21-r002.mzML,-0.07590859,0.3039483,0.17840225,-0.19496626,6.3324695,4.986095
F088_210811_M462_007.mzML,-2.394595,-1.6259761,-0.868282,0.6414985,13.688074,18.455435
F088_210728_M462_011.mzML,-0.44139317,0.44335094,-1.1481676,0.86364585,17.39103,14.901518
McCann_812007220_336_MX452646_posHILIC.mzML,0.1761496,1.1581686,-0.07822696,-0.7390196,7.589445,-11.053375
F088_210813_M462_335.mzML,0.26411423,0.81198776,-0.05508875,-0.3826652,7.9827485,2.0606563
B1_WU350-021_d0_polar_pos.mzML,-1.2890534,-0.51756924,-0.65509206,1.7072155,8.582952,-2.8780198
F088_210808_M462_203.mzML,0.06701745,1.299559,0.09105139,0.038621143,8.688296,2.0149713
B7_WU350-232_d14_polar_pos.mzML,-0.43468025,-0.085201204,-0.027147515,0.37630668,8.908556,5.838695
B9_WU350-360_d0_polar_pos.mzML,0.019447155,1.2726818,0.9751084,-0.5599555,10.656084,-8.748556
F088_210801_M462_065.mzML,-0.3884776,0.035112515,-0.30327213,0.07405053,8.572045,5.81578
B6_WU350-239_d0_polar_pos.mzML,0.28779542,1.858136,1.4768895,-0.7469242,11.229241,-9.13714
McCann_812140000_331_MX452646_posHILIC.mzML,-3.6546319,-3.9058473,2.0771887,3.6233163,11.449957,-4.1095877
F088_210708_M462_059.mzML,0.85554355,2.6123333,-0.11251319,-0.7328112,9.012181,1.213948
